PHÂN TÍCH DATABASE,Category,Subcategory,Address,State,Zip,Phone,Hours_Mon,Hours_Tue,Hours_Wed,Hours_Thu,Hours_Fri,Hours_Sat,Hours_Sun,Email,Website,Languages,Services,Vietnamese_Speaking,Years_Experience,Notes,Google_Maps_Search,"Has_Number=IF(REGEXMATCH(D2,""[0-9]""),""YES"",""NO"")",Google_Maps_Link,Link_Type
Pho Nam,Restaurant,Vietnamese,4045 E Belknap St,TX,76111,(817) 222-0888,9:30 AM - 9:00 PM,9:30 AM - 9:00 PM,9:30 AM - 9:00 PM,9:30 AM - 9:00 PM,9:30 AM - 9:00 PM,9:30 AM - 9:00 PM,9:30 AM - 9:00 PM,,,Vietnamese/English,Pho restaurant,Yes,,,Pho Nam Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJzc12GzZ3ToYRQS--1vR5Aao,PLACE_ID
Pho 1,Restaurant,Vietnamese,2216 New York Ave,TX,76010,,,,,,,,,,,Vietnamese/English,Vietnamese pho,Yes,,,Pho 1 Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJNy0hEL2JToYRiLIBlUi_jjg,PLACE_ID
Saigon 88,Restaurant,Vietnamese,123 Main St,TX,76248,,,,,,,,,,,Vietnamese/English,Vietnamese restaurant,Yes,,,Saigon 88 Keller,,https://www.google.com/maps/place/?q=place_id:ChIJNVXcVuXXTYYRFRCWP9jqjrs,PLACE_ID
Cris & John,Restaurant,Vietnamese,5555 Preston Oaks Rd,TX,75254,(972) 803-5182,,,,,,,,,,,Vietnamese/English,Vietnamese street food fusion,Yes,,,,https://www.google.com/maps/place/?q=place_id:ChIJG4Q5Vh8hTIYRgKiCQLWFub4,PLACE_ID
Sapa House,Restaurant,Vietnamese,1623 Main St,TX,75201,(214) 760-1010,,,,,,,,,,,Vietnamese/English,Vietnamese fusion,Yes,,,,https://www.google.com/maps/place/?q=place_id:ChIJhQE8TR-ZToYRsF0rtTyJEmQ,PLACE_ID
Pho Envy,Restaurant,Vietnamese,8611 Hillcrest Rd,TX,75225,(214) 696-9996,,,,,,,,,,,Vietnamese/English,Pho restaurant,Yes,,,,https://www.google.com/maps/place/?q=place_id:ChIJ1VE9_7OfToYRBP0KVZMr7-Y,PLACE_ID
La Me,Restaurant,Vietnamese,9780 Walnut St,TX,75243,(972) 669-9511,,,,,,,,,,,Vietnamese/English,Banh Mi and Pho,Yes,,,,https://www.google.com/maps/place/?q=place_id:ChIJfRCwfLgfTIYRoSmCQ2GxtTw,PLACE_ID
Pho V Nam,Restaurant,Vietnamese,1400 W Northwest Hwy,TX,76051,(817) 251-8866,,,,,,,,,,,Vietnamese/English,Pho noodle,Yes,,,,https://www.google.com/maps/place/?q=place_id:ChIJMRtG7qt_ToYRbI4f1Rx4Sv4,PLACE_ID
L V Noodle & Grill,Restaurant,Vietnamese,2220 Cross Timbers Rd,TX,75028,(972) 539-5000,,,,,,,,,,,Vietnamese/English,Noodle and grill,Yes,,,,https://www.google.com/maps/place/?q=place_id:ChIJHUZZ6BItTIYRhqfLfAVWjps,PLACE_ID
Pho One Flower Mound,Restaurant,Vietnamese,2601 Flower Mound Rd,TX,75028,(972) 355-6888,,,,,,,,,,,Vietnamese/English,Pho One,Yes,,,,https://www.google.com/maps/place/?q=place_id:ChIJ5XY_Ko4uTIYRHBe0oYLZY-4,PLACE_ID
I Luv Pho Flower Mound,Restaurant,Vietnamese,1900 Long Prairie Rd,TX,75022,,,,,,,,,,,Vietnamese/English,I Luv Pho chain,Yes,,,I Luv Pho Flower Mound,,https://www.google.com/maps/place/?q=place_id:ChIJ28Ne6N8sTIYRq2MfAGLfbjs,PLACE_ID
Pho Little Saigon 2,Restaurant,Vietnamese,171 N Denton Tap Rd,TX,75019,(972) 745-0010,,,,,,,,,,,Vietnamese/English,Pho restaurant,Yes,,,,https://www.google.com/maps/place/?q=place_id:ChIJGT_CkU4pTIYRlldoROZmf0Y,PLACE_ID
Zo Vien,Restaurant,Vietnamese,2385 Preston Rd,TX,75034,,,,,,,,,,,Vietnamese/English,Vietnamese cafe,Yes,,,Zo Vien Frisco,,https://www.google.com/maps/place/?q=place_id:EiYyMzg1IFByZXN0b24gUmQsIEZyaXNjbywgVFggNzUwMzQsIFVTQSIxEi8KFAoSCev_56vpPEyGEY7ujRM4lM57ENESKhQKEgn5fAb1g2pMhhGbIXwPcOq-5A,PLACE_ID
Simply Pho House,Restaurant,Vietnamese,6959 Lebanon Rd,TX,75034,,,,,,,,,,,Vietnamese/English,Pho house,Yes,,,Simply Pho House Frisco,,https://www.google.com/maps/place/?q=place_id:ChIJu7w0fnlBTIYRyEzLnXZiosA,PLACE_ID
Pho Mac Frisco,Restaurant,Vietnamese,8420 Preston Rd,TX,75034,,,,,,,,,,,Vietnamese/English,Pho restaurant,Yes,,,Pho Mac Frisco,,https://www.google.com/maps/place/?q=place_id:ChIJj2bI2MQ9TIYRz1y_hYXQNP0,PLACE_ID
Pho Appétit,Restaurant,Vietnamese,5444 FM 423,TX,75036,,,,,,,,,,,Vietnamese/English,Appetizing pho,Yes,,,Pho Appetit Frisco,,https://www.google.com/maps/place/?q=place_id:ChIJM_I-ieM5TIYRbHt_jQ_cArc,PLACE_ID
Pho Tre Bien,Restaurant,Vietnamese,1409 S Cooper St,TX,76013,,,,,,,,,,,Vietnamese/English,Pho restaurant,Yes,,,Pho Tre Bien Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJ-8990ARb54YRha49zNGFX0k,PLACE_ID
Sprout's Springroll & Pho,Restaurant,Vietnamese,780 E Road to Six Flags St,TX,76011,,,,,,,,,,,Vietnamese/English,Spring rolls and pho,Yes,,,Sprouts Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJN5zkNY59ToYR7P80iiTM2qs,PLACE_ID
Pho Pasteur 4,Restaurant,Vietnamese,2225 S Bowen Rd,TX,76013,,,,,,,,,,,Vietnamese/English,Pho Pasteur,Yes,,,Pho Pasteur 4 Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJDSSmSk99ToYRCqEQqJosHa8,PLACE_ID
Hoa Dallas,Retail,Florist,2201 Main St,TX,75201,(214) 939-8001,,,,,,,,,,Vietnamese/English,"Wedding florals, bridal bouquets, centerpieces",Yes,Since 1998,"AIFD award, 26+ years",Hoa Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJR2Ah3t-YToYRZFsQnj2UK5Y,PLACE_ID
Hoang Chau Jewelry Repair,Retail,Jewelry,9788 Walnut St #162,TX,75243,,,,,,,,,,,Vietnamese/English,Jewelry repair,Yes,,,Hoang Chau Jewelry Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJtwbZR7gfTIYRaHmtSUMPnwo,PLACE_ID
Morning Star,Retail,Fashion,2615 W Pioneer Pkwy,TX,75051,,,,,,,,,,,Vietnamese/English,Vietnamese Fashion,Yes,,,Morning Star Grand Prairie,,https://www.google.com/maps/place/?q=place_id:ChIJ3ye4BBuHToYRMnW7CCzHA1Q,PLACE_ID
Sam's Nail Supply,Retail,Beauty Supply,3122 N Jupiter Rd #105,TX,75044,,,,,,,,,,,Vietnamese/English,Nail Supply,Yes,,,Sams Nail Supply Garland,,https://www.google.com/maps/place/?q=place_id:ChIJr8rzqBYeTIYRTJrgRZBHuHQ,PLACE_ID
Hiep Thai Market Garland,Retail,Grocery,3347 W Walnut St,TX,75042,,,,,,,,,,,Vietnamese/English,Asian market,Yes,,,Hiep Thai Garland,,https://www.google.com/maps/place/?q=place_id:ChIJwSVNORQeTIYRRsI8DMps6iU,PLACE_ID
Cali Saigon Mall,Shopping Center,Vietnamese Mall,3212 N Jupiter Rd,TX,75044,(972) 530-5388,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,,,Vietnamese/English,"Supermarket, restaurants, retail shops, herbal medicine",Yes,,Primary Vietnamese hub in Garland,Cali Saigon Mall Garland,,https://www.google.com/maps/place/?q=place_id:ChIJmV7iRooeTIYRNrG3uj9Dj4c,PLACE_ID
Asia Times Square,Shopping Center,Asian Mall,2625 W Pioneer Pkwy,TX,75051,(972) 975-5100,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 10:00 PM,9:00 AM - 10:00 PM,9:00 AM - 9:00 PM,,,Vietnamese/English,"Restaurants, shops, Tet Festival venue",Yes,,19th Annual Tet Festival,Asia Times Square Grand Prairie,,https://www.google.com/maps/place/?q=place_id:ChIJFXC8wS2GToYRpP8nJsVGUhg,PLACE_ID
Saigon Mall,Shopping Center,Mall,3212 N Jupiter Rd,TX,75044,,,,,,,,,,,Vietnamese/English,Shopping Mall,Yes,,,Saigon Mall Garland,,https://www.google.com/maps/place/?q=place_id:ChIJmV7iRooeTIYRNrG3uj9Dj4c,PLACE_ID
Hiep Thai Plaza,Shopping Center,Plaza,2405 E Belt Line Rd,TX,75081,,,,,,,,,,,Vietnamese/English,Shopping Plaza,Yes,,,Hiep Thai Plaza Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJHwWjVBEeTIYRNmi1kfmarWc,PLACE_ID
Cali Saigon Mall,Shopping Center,Mall,3212 N Jupiter Rd,TX,75044,,,,,,,,,,,Vietnamese/English,Vietnamese Mall,Yes,,,Cali Saigon Mall Garland,,https://www.google.com/maps/place/?q=place_id:ChIJmV7iRooeTIYRNrG3uj9Dj4c,PLACE_ID
Asia Times Square,Shopping Center,Mall,2615 W Pioneer Pkwy,TX,75051,,,,,,,,,,,Vietnamese/English,Asian Mall,Yes,,,Asia Times Square Grand Prairie,,https://www.google.com/maps/place/?q=place_id:ChIJFXC8wS2GToYRpP8nJsVGUhg,PLACE_ID
Ben Thanh Plaza,Shopping Center,Plaza,1818 E Pioneer Pkwy,TX,76010,,,,,,,,,,,Vietnamese/English,Vietnamese Plaza,Yes,,,Ben Thanh Plaza Arlington,,https://www.google.com/maps/place/?q=place_id:ChIJpRMprfqHToYRoF_3enw4txw,PLACE_ID
VN United Football Club,Sports,Soccer Club,1330 Spring Creek Drive,TX,75040,"(469) 989-1489, (469) 975-1258",,,,,,,,,,Vietnamese/English,"Youth soccer clinics, DAAST tournament",Yes,,501(c)(3) non-profit,VN United FC Garland,,https://www.google.com/maps/place/?q=place_id:ChIJbbUTXvQdTIYRXe68wnjRg3g,PLACE_ID
H Mart Carrollton,Supermarket,Asian Grocery,2625 Old Denton Rd #200,TX,75007,(972) 323-9700,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,8:00 AM - 11:00 PM,,hmart.com,Vietnamese/English/Korean,"Korean/Vietnamese/Asian groceries, food court, bakery",Yes,,,H Mart Carrollton TX,,https://www.google.com/maps/place/?q=place_id:ChIJBTQTT_slTIYRjrnYj3wOWE4,PLACE_ID
Saigon SuperMarket / Sieu Thi Thuan Phat,Supermarket,Vietnamese Grocery,3212 N Jupiter Rd,TX,75044,(972) 530-9000,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 9:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,8:00 AM - 8:00 PM,,,Vietnamese/English,Vietnamese & Asian groceries,Yes,,Inside Cali Saigon Mall,Saigon SuperMarket Garland,,https://www.google.com/maps/place/?q=place_id:ChIJRaPc_WYfTIYRn3f4VKFGtks,PLACE_ID
99 Ranch Market - Carrollton,Supermarket,Asian Grocery,2532 Old Denton Rd,TX,75006,(972) 242-9899,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,8:00 AM - 10:00 PM,8:00 AM - 10:00 PM,9:00 AM - 10:00 PM,,99ranch.com,Vietnamese/English/Multiple,"Asian groceries, food court",Yes,,,99 Ranch Market Carrollton,,https://www.google.com/maps/place/?q=place_id:ChIJNW41J-MlTIYRZ9p2pox0ewI,PLACE_ID
Hong Kong Market,Supermarket,Asian Grocery,9780 Walnut St.,TX,75243,(972) 437-9888,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,,,Vietnamese/English,Asian groceries (Vietnamese products available),Yes,,,Hong Kong Market Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJ96RaTrgfTIYRbIMHViSTIgY,PLACE_ID
New Truong Nguyen Market,Supermarket,Seafood Market,3555 E Walnut St #221,TX,75042,,,,,,,,,,,Vietnamese/English,"Fresh seafood, crawfish, Vietnamese ingredients",Yes,,,New Truong Nguyen Garland,,https://www.google.com/maps/place/?q=place_id:ChIJ8RFJCBYeTIYRQ6MctlzrkAk,PLACE_ID
Hiep Thai Market,Supermarket,Asian Grocery,2405 E Belt Line Rd,TX,75081,(972) 235-8575,8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,8:30 AM - 9:00 PM,,,Vietnamese/English,"Vietnamese grocery, fresh seafood",Yes,,,Hiep Thai Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJwSVNORQeTIYRRsI8DMps6iU,PLACE_ID
Good Fortune Supermarket,Supermarket,Asian Grocery,400 N Greenville Ave,TX,75081,(972) 231-2338,,,,,,,,,,Vietnamese/English,Asian Grocery,Yes,,,Good Fortune Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJlz-nNQ0fTIYR9tkY1r1wUO8,PLACE_ID
Saigon Market,Supermarket,Asian Grocery,111 S Jupiter Rd,TX,75081,(972) 231-6453,,,,,,,,,,Vietnamese/English,Vietnamese & Asian Grocery,Yes,,,Saigon Market Richardson,,https://www.google.com/maps/place/?q=place_id:ChIJmV7iRooeTIYRNrG3uj9Dj4c,PLACE_ID
Hong Kong Market,Supermarket,Asian Grocery,9780 Walnut St,TX,75243,,,,,,,,,,,Vietnamese/English,Asian Grocery,Yes,,,Hong Kong Market Dallas,,https://www.google.com/maps/place/?q=place_id:ChIJ96RaTrgfTIYRbIMHViSTIgY,PLACE_ID
Vietnam Plaza Grocery Store,Supermarket,Vietnamese Grocery,4101 E Belknap St,TX,76117,,,,,,,,,,,Vietnamese/English,Vietnamese Grocery,Yes,,,Vietnam Plaza Grocery Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJq2-hOzZ3ToYRmbIUwK1LCGE,PLACE_ID
Hong Kong Market Place,Supermarket,Asian Grocery,2615 W Pioneer Pkwy,TX,75051,,,,,,,,,,,Vietnamese/English,Asian Grocery,Yes,,,Hong Kong Market Grand Prairie,,https://www.google.com/maps/place/?q=place_id:ChIJgUVKiy2GToYRHn5ETsRfij0,PLACE_ID
Nalinh Market,Supermarket,Asian Grocery,1716 E State Hwy 356,TX,75060,,,,,,,,,,,Vietnamese/English,Asian Grocery,Yes,,,Nalinh Market Irving,,https://www.google.com/maps/place/?q=place_id:ChIJ-eOSUk2DToYRPZz8kPOrOzo,PLACE_ID
Vietnam Plaza Grocery,Supermarket,Asian Grocery,4101 E Belknap St,TX,,,,,,,,,,,,Vietnamese,Vietnamese Grocery,Yes,,,Vietnam Plaza Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJq2-hOzZ3ToYRmbIUwK1LCGE,PLACE_ID
Nguyen Loi Supermarket,Supermarket,Asian Grocery,5302 E Belknap St,TX,,,,,,,,,,,,Vietnamese,Oriental Supermarket,Yes,,,Nguyen Loi Supermarket Haltom City,,https://www.google.com/maps/place/?q=place_id:ChIJy4DDyV53ToYRk-mozk2_1D0,PLACE_ID
